stop_id,shading,heat_vulnerability_index,heat_vulnerability_label,tree_canopy_pct,lst_median,shade_coverage,shade_sources
675,Unknown,8.663226,Elevated Vulnerability,0.289104,100.000000,Unknown,None
677,Unknown,8.663226,Elevated Vulnerability,0.289104,100.000000,Unknown,None
680,Unknown,8.663226,Elevated Vulnerability,0.289104,100.000000,Unknown,None
682,Unknown,8.663226,Elevated Vulnerability,0.289104,100.000000,Unknown,None
683,Unknown,8.663226,Elevated Vulnerability,0.289104,100.000000,Unknown,None
685,Unknown,5.389677,Low Vulnerability,0.405819,97.000000,Unknown,None
687,Unknown,5.389677,Low Vulnerability,0.405819,97.000000,Unknown,None
688,Unknown,5.762027,Low Vulnerability,0.403096,96.000000,Unknown,None
690,Unknown,5.762027,Low Vulnerability,0.403096,96.000000,Unknown,None
691,Unknown,6.451888,Moderate Vulnerability,0.261427,98.000000,Unknown,None
692,Unknown,9.158626,Most Vulnerable,0.278752,100.000000,Unknown,None
695,Unknown,9.158626,Most Vulnerable,0.278752,100.000000,Unknown,None
698,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
703,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
706,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
710,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
717,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
720,Unknown,7.530963,Elevated Vulnerability,0.423354,99.000000,Unknown,None
722,Unknown,7.530963,Elevated Vulnerability,0.423354,99.000000,Unknown,None
723,Unknown,7.530963,Elevated Vulnerability,0.423354,99.000000,Unknown,None
725,Unknown,7.530963,Elevated Vulnerability,0.423354,99.000000,Unknown,None
727,Unknown,4.870942,Low Vulnerability,0.423570,94.000000,Unknown,None
731,Unknown,4.870942,Low Vulnerability,0.423570,94.000000,Unknown,None
732,Unknown,4.870942,Low Vulnerability,0.423570,94.000000,Unknown,None
733,Unknown,6.181950,Moderate Vulnerability,0.441089,99.000000,Unknown,None
734,Unknown,6.181950,Moderate Vulnerability,0.441089,99.000000,Unknown,None
737,Unknown,6.267712,Moderate Vulnerability,0.573225,97.000000,Unknown,None
738,Unknown,5.066517,Low Vulnerability,0.483642,96.000000,Unknown,None
743,Unknown,7.311105,Moderate Vulnerability,0.248815,101.000000,Unknown,None
744,Unknown,7.311105,Moderate Vulnerability,0.248815,101.000000,Unknown,None
765,Unknown,6.114634,Moderate Vulnerability,0.180304,100.000000,Unknown,None
767,Unknown,7.793520,Elevated Vulnerability,0.314156,101.000000,Unknown,None
769,Unknown,7.793520,Elevated Vulnerability,0.314156,101.000000,Unknown,None
771,Unknown,7.311105,Moderate Vulnerability,0.248815,101.000000,Unknown,None
775,Unknown,5.066517,Low Vulnerability,0.483642,96.000000,Unknown,None
777,Unknown,6.267712,Moderate Vulnerability,0.573225,97.000000,Unknown,None
779,Unknown,6.181950,Moderate Vulnerability,0.441089,99.000000,Unknown,None
781,Unknown,6.181950,Moderate Vulnerability,0.441089,99.000000,Unknown,None
782,Unknown,6.181950,Moderate Vulnerability,0.441089,99.000000,Unknown,None
791,Unknown,5.015823,Low Vulnerability,0.510018,96.000000,Unknown,None
792,Unknown,5.015823,Low Vulnerability,0.510018,96.000000,Unknown,None
793,Unknown,7.530963,Elevated Vulnerability,0.423354,99.000000,Unknown,None
794,Unknown,7.479586,Moderate Vulnerability,0.247589,100.000000,Unknown,None
797,Unknown,7.530963,Elevated Vulnerability,0.423354,99.000000,Unknown,None
799,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
801,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
806,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
807,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
808,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
809,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
810,Unknown,7.479586,Moderate Vulnerability,0.247589,100.000000,Unknown,None
813,Unknown,7.479586,Moderate Vulnerability,0.247589,100.000000,Unknown,None
815,Unknown,6.008780,Low Vulnerability,0.489676,98.000000,Unknown,None
816,Unknown,7.225032,Moderate Vulnerability,0.415663,96.000000,Unknown,None
817,Unknown,7.225032,Moderate Vulnerability,0.415663,96.000000,Unknown,None
818,Unknown,7.479586,Moderate Vulnerability,0.247589,100.000000,Unknown,None
828,Unknown,4.982756,Low Vulnerability,0.480291,99.000000,Unknown,None
830,Unknown,4.982756,Low Vulnerability,0.480291,99.000000,Unknown,None
832,Unknown,3.578476,Least Vulnerable,0.561852,98.000000,Unknown,None
