stop_id,stop_name,stop_lat,stop_lon,agency,routes,municipality,shading,shade_coverage,shade_sources,review_status,confidence,ridership,priority_score,heat_vulnerability_label,stop_code,nearby_destinations,tree_canopy_pct,heat_vulnerability_index,lst_median
4052,Columbus Dr @ 22nd St,27.966706,-82.434875,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,4052,,0.180304,6.114634,100.0
3061,Columbus Dr @ 26th St,27.966678,-82.430763,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3061,,0.342909,6.7134,98.0
3063,Columbus Dr @ 29th St,27.966687,-82.428374,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3063,,0.342909,6.7134,98.0
3064,Columbus Dr @ 31st St,27.96666,-82.425862,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3064,,0.35757,6.559399,97.0
4532,Columbus Dr @ 33rd St,27.966641,-82.423189,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,4532,,0.284256,6.649552,98.0
3067,Columbus Dr @ 37th St,27.96664,-82.41847,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3067,,0.284256,6.649552,98.0
3068,Columbus Dr @ 40th St,27.966698,-82.413655,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3068,,0.213851,7.134386,100.0
7628,Columbus Dr @ 43rd St (DACCO),27.966638,-82.409336,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7628,,0.213851,7.134386,100.0
7629,Columbus Dr @ 43rd St (DACCO),27.96681,-82.408435,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7629,,0.213851,7.134386,100.0
7776,Columbus Dr @ 50th St,27.965323,-82.401671,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7776,,0.233091,6.071134,97.0
3018,Columbus Dr @ Armenia Av,27.966748,-82.484727,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3018,,0.21291,7.652022,103.0
3034,Columbus Dr @ Armenia Av,27.96666,-82.485943,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3034,,0.202084,7.843105,104.0
3003,Columbus Dr @ Central Av,27.966897,-82.45521,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,3003,,0.46507,5.160704,96.0
3047,Columbus Dr @ Central Av,27.966759,-82.455603,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3047,,0.413357,6.136434,96.0
3005,Columbus Dr @ Florida Av,27.966906,-82.459014,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,3005,,0.46507,5.160704,96.0
3046,Columbus Dr @ Florida Av,27.966776,-82.459583,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3046,,0.246505,6.217153,99.0
3015,Columbus Dr @ Fremont Av,27.966684,-82.478962,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3015,,0.270628,6.677978,103.0
3037,Columbus Dr @ Fremont Av,27.966535,-82.478802,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3037,,0.351302,7.509013,102.0
3041,Columbus Dr @ Glenwood Dr,27.966847,-82.469111,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3041,,0.246505,6.217153,99.0
